ID,Town,County,Country
144,Abington Vale,Northamptonshire,England
145,Abingworth,West Sussex,England
146,Ablington,Gloucestershire,England
147,Ablington,Wiltshire,England
148,Abney,Derbyshire,England
149,Aboyne,Aberdeenshire,Scotland
150,Abraham Heights,Lancashire,England
151,Abram,Greater Manchester,England
152,Abriachan,Highland,Scotland
153,Abridge,Essex,England
154,Abronhill,North Lanarkshire,Scotland
155,Abshot,Hampshire,England
156,Abson,Gloucestershire,England
157,Abthorpe,Northamptonshire,England
158,Abune-the-hill,Orkney Islands,Scotland
159,Aby,Lincolnshire,England
160,Acarsaid,Highland,Scotland
161,Acaster Malbis,North Yorkshire,England
162,Acaster Selby,North Yorkshire,England
163,Accrington,Lancashire,England
164,Ach'an Tobhair,Highland,Scotland
165,Acha,Argyll and Bute,Scotland
166,Acha Mòr,Na h-Eileanan an Iar,Scotland
167,Achachork,Highland,Scotland
168,Achadh nan Darach,Highland,Scotland
169,Achahoish,Argyll and Bute,Scotland
170,Achaleven,Argyll and Bute,Scotland
171,Achalone,Highland,Scotland
172,Achanelid,Argyll and Bute,Scotland
173,Achaphubuil,Highland,Scotland
174,Acharacle/Ath-Tharracail,Highland,Scotland
175,Achargary,Highland,Scotland
176,Acharn,Perth and Kinross,Scotland
177,Acharn,Angus,Scotland
178,Achavandra Muir,Highland,Scotland
179,Achddu,Carmarthenshire,Wales
180,Achfary,Highland,Scotland
181,Achfrish,Highland,Scotland
182,Achgarve,Highland,Scotland
183,Achiemore,Highland,Scotland
184,Achiltibuie,Highland,Scotland
185,Achina,Highland,Scotland
186,Achininver,Highland,Scotland
187,Achintee,Highland,Scotland
188,Achintraid,Highland,Scotland
189,Achleck,Argyll and Bute,Scotland
190,Achluachrach,Highland,Scotland
191,Achlyness,Highland,Scotland
192,Achmelvich,Highland,Scotland
193,Achmore,Highland,Scotland
194,Achmore,Highland,Scotland
195,Achnacarnin,Highland,Scotland
196,Achnacarry,Highland,Scotland
197,Achnacloich/Ach na Cloiche,Highland,Scotland
198,Achnacroish,Argyll and Bute,Scotland
199,Achnaha,Highland,Scotland
200,Achnahanat,Highland,Scotland
201,Achnahannet,Highland,Scotland
202,Achnahard,Argyll and Bute,Scotland
203,Achnahuaigh,Highland,Scotland
204,Achnairn,Highland,Scotland
205,Achnamara,Argyll and Bute,Scotland
206,Achnasheen/Achadh na Sine,Highland,Scotland
207,Achosnich,Highland,Scotland
208,Achreamie,Highland,Scotland
209,Achriesgill,Highland,Scotland
210,Achrimsdale,Highland,Scotland
211,Achtalean,Highland,Scotland
212,Achterneed,Highland,Scotland
213,Achtoty,Highland,Scotland
214,Achurch,Northamptonshire,England
215,Achuvoldrach,Highland,Scotland
216,Ackenthwaite,Cumbria,England
217,Ackergill,Highland,Scotland
218,Acklam,North Yorkshire,England
219,Acklam,North Yorkshire,England
220,Ackleton,Shropshire,England
221,Acklington,Northumberland,England
222,Ackton,West Yorkshire,England
223,Ackworth Moor Top,West Yorkshire,England
224,Acle,Norfolk,England
225,Acock's Green,West Midlands,England
226,Acol,Kent,England
227,Acomb,Northumberland,England
228,Acomb,North Yorkshire,England
229,Acre,Greater Manchester,England
230,Acrefair,Wrexham,Wales
231,Acres Nook,Staffordshire,England
232,Acton,Banbridge,Northern Ireland
233,Acton,Wrexham,Wales
234,Acton,Cheshire,England
235,Acton,Staffordshire,England
236,Acton,Shropshire,England
237,Acton,Worcestershire,England
238,Acton,Dorset,England
239,Acton,Suffolk,England
240,Acton,"Ealing, Greater London",England
241,Acton Beauchamp,Herefordshire,England
242,Acton Bridge,Cheshire,England
243,Acton Burnell,Shropshire,England
244,Acton Green,Herefordshire,England
245,Acton Green,"Hounslow, Greater London",England
246,Acton Pigott,Shropshire,England
247,Acton Place,Suffolk,England
248,Acton Reynald,Shropshire,England
249,Acton Round,Shropshire,England
250,Acton Scott,Shropshire,England
251,Acton Trussell,Staffordshire,England
252,Acton Turville,Gloucestershire,England
253,Adabroc,Na h-Eileanan an Iar,Scotland
254,Adam's Green,Dorset,England
255,Adambrae,West Lothian,Scotland
256,Adbaston,Staffordshire,England
257,Adber,Dorset,England
258,Adbolton,Nottinghamshire,England
259,Adderbury,Oxfordshire,England
260,Adderley,Shropshire,England
261,Adderley Green,Staffordshire,England
262,Addiewell,West Lothian,Scotland
263,Addingham,West Yorkshire,England
264,Addingham Moorside,West Yorkshire,England
265,Addington,Buckinghamshire,England
266,Addington,Cornwall,England
267,Addington,"Croydon, Greater London",England
268,Addington,Kent,England
269,Addinston,Scottish Borders,Scotland
270,Addiscombe,"Croydon, Greater London",England
271,Addlestone,Surrey,England
272,Addlestonemoor,Surrey,England
273,Addlethorpe,Lincolnshire,England
274,Adel,West Yorkshire,England
275,Adeney,Shropshire,England
276,Adeyfield,Hertfordshire,England
277,Adfa,Powys,Wales
278,Adforton,Herefordshire,England
279,Adgestone,Isle of Wight,England
280,Adisham,Kent,England
281,Adlestrop,Gloucestershire,England
282,Adlingfleet,East Riding of Yorkshire,England
283,Adlington,Lancashire,England
284,Adlington,Cheshire,England
285,Adlington Park,Lancashire,England
286,Admaston,Shropshire,England
287,Admaston,Staffordshire,England
288,Admington,Warwickshire,England
289,Adpar,Ceredigion,Wales
290,Adsborough,Somerset,England
291,Adscombe,Somerset,England
292,Adstock,Buckinghamshire,England
293,Adstone,Northamptonshire,England
294,Adswood,Greater Manchester,England
295,Adversane,West Sussex,England
296,Advie,Highland,Scotland
297,Adwalton,West Yorkshire,England
298,Adwell,Oxfordshire,England
299,Adwick Le Street,South Yorkshire,England
300,Adwick upon Dearne,South Yorkshire,England
301,Ae,Dumfries and Galloway,Scotland
302,Affetside,Greater Manchester,England
303,Affleck,Aberdeenshire,Scotland
304,Affpuddle,Dorset,England
305,Afon Eitha,Wrexham,Wales
306,Afon Wen,Gwynedd,Wales
307,Afon-wen,Flintshire,Wales
308,Afton,Isle of Wight,England
309,Agar Nook,Leicestershire,England
310,Agbrigg,West Yorkshire,England
311,Aggborough,Worcestershire,England
312,Agglethorpe,North Yorkshire,England
313,Aghadowey,Coleraine,Northern Ireland
314,Aghagallon,Craigavon,Northern Ireland
315,Aghalee,Lisburn,Northern Ireland
316,Aghanloo,Limavady,Northern Ireland
317,Aghory,Armagh,Northern Ireland
318,Aglionby,Cumbria,England
319,Ahoghill,Ballymena,Northern Ireland
320,Aifft,Denbighshire,Wales
321,Aigburth,Merseyside,England
322,Aiginis,Na h-Eileanan an Iar,Scotland
323,Aike,East Riding of Yorkshire,England
324,Aiketgate,Cumbria,England
325,Aikton,Cumbria,England
326,Ailby,Lincolnshire,England
327,Ailstone,Warwickshire,England
328,Ailsworth,Cambridgeshire,England
329,Aimes Green,Essex,England
330,Ainderby Quernhow,North Yorkshire,England
331,Ainderby Steeple,North Yorkshire,England
332,Aingers Green,Essex,England
333,Ainley Top,West Yorkshire,England
334,Ainsdale,Merseyside,England
335,Ainsdale-on-Sea,Merseyside,England
336,Ainstable,Cumbria,England
337,Ainsworth,Greater Manchester,England
338,Ainthorpe,North Yorkshire,England
339,Aintree,Merseyside,England
340,Aird,Moyle,Northern Ireland
341,Aird,Na h-Eileanan an Iar,Scotland
342,Aird,Na h-Eileanan an Iar,Scotland
343,Aird /An Àird,Highland,Scotland
344,"Aird, The",Highland,Scotland
345,Airdens,Highland,Scotland
346,Airdrie,North Lanarkshire,Scotland
347,Airdtorrisdale,Highland,Scotland
348,Aire View,North Yorkshire,England
349,Airedale,West Yorkshire,England
350,Airidh a Bhruaich,Na h-Eileanan an Iar,Scotland
351,Airlie,Angus,Scotland
352,Airmyn,North Yorkshire,England
353,Airntully,Perth and Kinross,Scotland
354,Airor,Highland,Scotland
355,Airth,Falkirk,Scotland
356,Airthrey Castle,Stirling,Scotland
357,Airton,North Yorkshire,England
358,Airy Hill,North Yorkshire,England
359,Aisby,Lincolnshire,England
360,Aisby,Lincolnshire,England
361,Aisgernis,Na h-Eileanan an Iar,Scotland
362,Aish,Devon,England
363,Aish,Devon,England
364,Aisholt,Somerset,England
365,Aiskew,North Yorkshire,England
366,Aislaby,County Durham,England
367,Aislaby,North Yorkshire,England
368,Aislaby,North Yorkshire,England
369,Aisthorpe,Lincolnshire,England
370,Aith,Shetland Islands,Scotland
371,Aithnen,Powys,Wales
372,Aithsetter,Shetland Islands,Scotland
373,Akeld,Northumberland,England
374,Akeley,Buckinghamshire,England
375,Akenham,Suffolk,England
376,Albany,Tyne and Wear,England
377,Alberbury,Shropshire,England
378,Albert Town,Pembrokeshire,Wales
379,Albert Village,Leicestershire,England
380,Albourne,West Sussex,England
381,Albourne Green,West Sussex,England
382,Albrighton,Shropshire,England
383,Albrighton,Shropshire,England
384,Albro Castle,Ceredigion,Wales
385,Alburgh,Norfolk,England
386,Albury,Hertfordshire,England
387,Albury,Surrey,England
388,Albury End,Hertfordshire,England
389,Albury Heath,Surrey,England
390,Alby Hill,Norfolk,England
391,Albyfield,Cumbria,England
392,Alcaig,Highland,Scotland
393,Alcaston,Shropshire,England
394,Alcester,Warwickshire,England
395,Alcester,Dorset,England
396,Alcester Lane's End,West Midlands,England
397,Alciston,East Sussex,England
398,Alcombe,Somerset,England
399,Alcombe,Wiltshire,England
400,Alconbury,Cambridgeshire,England
401,Alconbury Weston,Cambridgeshire,England
402,Aldborough,North Yorkshire,England
403,Aldborough,Norfolk,England
404,Aldborough Hatch,"Redbridge, Greater London",England
405,Aldbourne,Wiltshire,England
406,Aldbrough,East Riding of Yorkshire,England
407,Aldbrough St John,North Yorkshire,England
408,Aldbury,Hertfordshire,England
409,Aldcliffe,Lancashire,England
410,Aldclune,Perth and Kinross,Scotland
411,Aldeburgh,Suffolk,England
412,Aldeby,Norfolk,England
413,Aldenham,Hertfordshire,England
414,Alder Forest,Greater Manchester,England
415,Alder Moor,Staffordshire,England
416,Alder Row,Somerset,England
417,Alder's End,Herefordshire,England
418,Alderbrook,East Sussex,England
419,Alderbury,Wiltshire,England
420,Aldercar,Derbyshire,England
421,Alderford,Norfolk,England
422,Aldergrove,Antrim,Northern Ireland
423,Alderholt,Dorset,England
424,Alderley,Gloucestershire,England
425,Alderley Edge,Cheshire,England
426,Alderman's Green,West Midlands,England
427,Aldermaston,Berkshire,England
428,Aldermaston Soke,Berkshire,England
429,Aldermaston Wharf,Berkshire,England
430,Alderminster,Warwickshire,England
431,Aldermoor,Hampshire,England
432,Alderney,Dorset,England
433,Aldersbrook,"Redbridge, Greater London",England
434,Aldersey Green,Cheshire,England
435,Aldersey Park,Cheshire,England
436,Aldershawe,Staffordshire,England
437,Aldershot,Hampshire,England
438,Alderton,Shropshire,England
439,Alderton,Gloucestershire,England
440,Alderton,Northamptonshire,England
441,Alderton,Wiltshire,England
442,Alderton,Suffolk,England
443,Alderton Fields,Gloucestershire,England
444,Alderwasley,Derbyshire,England
445,Aldfield,North Yorkshire,England
446,Aldford,Cheshire,England
447,Aldgate,Rutland,England
448,Aldham,Essex,England
449,Aldham,Suffolk,England
450,Aldingbourne,West Sussex,England
451,Aldingham,Cumbria,England
452,Aldington,Worcestershire,England
453,Aldington,Kent,England
454,Aldington Frith,Kent,England
455,Aldon,Shropshire,England
456,Aldoth,Cumbria,England
457,Aldreth,Cambridgeshire,England
458,Aldridge,West Midlands,England
459,Aldringham,Suffolk,England
460,Aldrington,East Sussex,England
461,Aldsworth,Gloucestershire,England
462,Aldwark,North Yorkshire,England
463,Aldwark,Derbyshire,England
464,Aldwarke,South Yorkshire,England
465,Aldwick,West Sussex,England
466,Aldwincle,Northamptonshire,England
467,Aldworth,Berkshire,England
468,Ale Oak,Shropshire,England
469,Alexandria,West Dunbartonshire,Scotland
470,Aley,Somerset,England
471,Aley Green,Bedfordshire,England
472,Alfardisworthy,Devon,England
473,Alfington,Devon,England
474,Alfold,Surrey,England
475,Alfold Bars,West Sussex,England
476,Alfold Crossways,Surrey,England
477,Alford,Aberdeenshire,Scotland
478,Alford,Somerset,England
479,Alford,Lincolnshire,England
480,Alfred's Well,Worcestershire,England
481,Alfreton,Derbyshire,England
482,Alfrick,Worcestershire,England
483,Alfrick Pound,Worcestershire,England
484,Alfriston,East Sussex,England
485,Algarkirk,Lincolnshire,England
486,Alhampton,Somerset,England
487,Alisary,Highland,Scotland
488,Alkborough,Lincolnshire,England
489,Alkerton,Gloucestershire,England
490,Alkerton,Oxfordshire,England
491,Alkham,Kent,England
492,Alkington,Shropshire,England
493,Alkmonton,Derbyshire,England
494,Alkrington Garden Village,Greater Manchester,England
495,All Cannings,Wiltshire,England
496,All Saints,Devon,England
497,All Saints South Elmham,Suffolk,England
498,All Stretton,Shropshire,England
499,Allaleigh,Devon,England
500,Allanaquoich,Aberdeenshire,Scotland
501,Allanbank,North Lanarkshire,Scotland
502,Allanbank,Scottish Borders,Scotland
503,Allandale,Falkirk,Scotland
504,Allanshaugh,Scottish Borders,Scotland
505,Allanshaws,Scottish Borders,Scotland
506,Allanton,South Lanarkshire,Scotland
507,Allanton,North Lanarkshire,Scotland
508,Allanton,Scottish Borders,Scotland
509,Allaston,Gloucestershire,England
510,Allathasdal,Na h-Eileanan an Iar,Scotland
511,Allbrook,Hampshire,England
512,Allen End,Warwickshire,England
513,Allen's Green,Hertfordshire,England
514,Allendale Town,Northumberland,England
515,Allenheads,Northumberland,England
516,Allensford,County Durham,England
517,Allensmore,Herefordshire,England
518,Allenton,Derbyshire,England
519,Allenwood,Cumbria,England
520,Aller,Devon,England
521,Aller,Somerset,England
522,Aller,Dorset,England
523,Aller,Devon,England
524,Aller Grove,Devon,England
525,Aller Park,Devon,England
526,Allerby,Cumbria,England
527,Allercombe,Devon,England
528,Allerford,Somerset,England
529,Allerford,Somerset,England
530,Allerston,North Yorkshire,England
531,Allerthorpe,East Riding of Yorkshire,England
532,Allerton,West Yorkshire,England
533,Allerton,Merseyside,England
534,Allerton Bywater,West Yorkshire,England
535,Allerton Mauleverer,North Yorkshire,England
536,Allesley,West Midlands,England
537,Allestree,Derbyshire,England
538,Allet,Cornwall,England
539,Allexton,Leicestershire,England
540,Allgreave,Cheshire,England
541,Allhallows,Kent,England
542,Allhallows-on-Sea,Kent,England
543,Alligin Shuas,Highland,Scotland
544,Allimore Green,Staffordshire,England
545,Allington,Lincolnshire,England
546,Allington,Wiltshire,England
547,Allington,Wiltshire,England
548,Allington,Wiltshire,England
549,Allington,Dorset,England
550,Allington,Kent,England
551,Allington Bar,Wiltshire,England
552,Allithwaite,Cumbria,England
553,Alloa,Clackmannanshire,Scotland
554,Allonby,Cumbria,England
555,Allostock,Cheshire,England
556,Alloway,South Ayrshire,Scotland
557,Allowenshay,Somerset,England
558,Allscott,Shropshire,England
559,Allscott,Shropshire,England
560,Allt,Carmarthenshire,Wales
561,Allt-yr-yn,Newport,Wales
562,Alltami,Flintshire,Wales
563,Alltmawr,Powys,Wales
564,Alltour,Highland,Scotland
565,Alltsigh,Highland,Scotland
566,Alltwalis,Carmarthenshire,Wales
567,Alltwen,Neath Port Talbot,Wales
568,Alltyblaca,Ceredigion,Wales
569,Allwood Green,Suffolk,England
570,Alma,Nottinghamshire,England
571,Almagill,Dumfries and Galloway,Scotland
572,Almeley,Herefordshire,England
573,Almeley Wootton,Herefordshire,England
574,Almer,Dorset,England
575,Almholme,South Yorkshire,England
576,Almington,Staffordshire,England
577,Alminstone Cross,Devon,England
578,Almondbank,Perth and Kinross,Scotland
579,Almondbury,West Yorkshire,England
580,Almondsbury,Gloucestershire,England
581,Almondvale,West Lothian,Scotland
582,Almshouse Green,Essex,England
583,Alne,North Yorkshire,England
584,Alne End,Warwickshire,England
585,Alne Hills,Warwickshire,England
586,Alne Station,North Yorkshire,England
587,Alness,Highland,Scotland
588,Alnessferry,Highland,Scotland
589,Alnham,Northumberland,England
590,Alnmouth,Northumberland,England
591,Alnwick,Northumberland,England
592,Alperton,"Brent, Greater London",England
593,Alphamstone,Essex,England
594,Alpheton,Suffolk,England
595,Alphington,Devon,England
596,Alpington,Norfolk,England
597,Alport,Derbyshire,England
598,Alport,Powys,Wales
599,Alpraham,Cheshire,England
600,Alresford,Essex,England
601,Alrewas,Staffordshire,England
602,Alsager,Cheshire,England
603,Alsagers Bank,Staffordshire,England
604,Alscot,Buckinghamshire,England
605,Alsop en le Dale,Derbyshire,England
606,Alston,Cumbria,England
607,Alston,Devon,England
608,Alston Sutton,Somerset,England
609,Alstone,Gloucestershire,England
610,Alstone,Gloucestershire,England
611,Alstone,Somerset,England
612,Alstonefield,Staffordshire,England
613,Alswear,Devon,England
614,Alt,Greater Manchester,England
615,Alt Hill,Greater Manchester,England
616,Altamullan,Strabane,Northern Ireland
617,Altamuskin,Omagh,Northern Ireland
618,Altarnun,Cornwall,England
619,Altass,Highland,Scotland
620,Altbough,Herefordshire,England
621,Altens,Aberdeen City,Scotland
622,Altham,Lancashire,England
623,Althorne,Essex,England
624,Althorpe,Lincolnshire,England
625,Altmore,Berkshire,England
626,Altmover,Limavady,Northern Ireland
627,Altnaharra,Highland,Scotland
628,Altnamackan,Newry and Mourne,Northern Ireland
629,Altofts,West Yorkshire,England
630,Alton,Staffordshire,England
631,Alton,Derbyshire,England
632,Alton,Wiltshire,England
633,Alton,Hampshire,England
634,Alton Barnes,Wiltshire,England
635,Alton Pancras,Dorset,England
636,Alton Priors,Wiltshire,England
637,Altonhill,East Ayrshire,Scotland
638,Altrincham,Greater Manchester,England
639,Altskeith,Stirling,Scotland
640,Alum Rock,West Midlands,England
641,Alva,Clackmannanshire,Scotland
642,Alvanley,Cheshire,England
643,Alvaston,Derbyshire,England
644,Alvechurch,Worcestershire,England
645,Alvecote,Warwickshire,England
646,Alvediston,Wiltshire,England
647,Alveley,Shropshire,England
648,Alverdiscott,Devon,England
649,Alverstoke,Hampshire,England
650,Alverstone,Isle of Wight,England
651,Alverthorpe,West Yorkshire,England
652,Alverton,Nottinghamshire,England
653,Alves,Moray,Scotland
654,Alvescot,Oxfordshire,England
655,Alveston,Warwickshire,England
656,Alveston,Gloucestershire,England
657,Alveston Down,Gloucestershire,England
658,Alveston Hill,Warwickshire,England
659,Alvie,Highland,Scotland
660,Alvingham,Lincolnshire,England
661,Alvington,Gloucestershire,England
662,Alvington,Somerset,England
663,Alwalton,Cambridgeshire,England
664,Alway,Newport,Wales
665,Alweston,Dorset,England
666,Alwington,Devon,England
667,Alwinton,Northumberland,England
668,Alwoodley,West Yorkshire,England
669,Alwoodley Gates,West Yorkshire,England
670,Alwoodley Park,West Yorkshire,England
671,Alyth,Perth and Kinross,Scotland
672,Am Baile,Na h-Eileanan an Iar,Scotland
673,Amalebra,Cornwall,England
674,Amalveor,Cornwall,England
675,Amatnatua,Highland,Scotland
676,Ambaston,Derbyshire,England
677,Amberley,Herefordshire,England
678,Amberley,Gloucestershire,England
679,Amberley,West Sussex,England
680,Amble,Northumberland,England
681,Amblecote,West Midlands,England
682,Ambler Thorn,West Yorkshire,England
683,Ambleside,Cumbria,England
684,Ambleston,Pembrokeshire,Wales
685,Ambrosden,Oxfordshire,England
686,Amcotts,Lincolnshire,England
687,Amen Corner,Berkshire,England
688,Amersham,Buckinghamshire,England
689,Amersham Common,Buckinghamshire,England
690,Amersham Old Town,Buckinghamshire,England
691,Amersham on the Hill,Buckinghamshire,England
692,Amerton,Staffordshire,England
693,Amesbury,Somerset,England
694,Amesbury,Wiltshire,England
695,Ameysford,Dorset,England
696,Amington,Staffordshire,England
697,Amisfield,Dumfries and Galloway,Scotland
698,Amitabha Buddhist Centre,Somerset,England
699,Amlwch,Isle of Anglesey,Wales
700,Amlwch Port,Isle of Anglesey,Wales
701,Ammanford/Rhydaman,Carmarthenshire,Wales
702,Ammerham,Somerset,England
703,Amotherby,North Yorkshire,England
704,Ampfield,Hampshire,England
705,Ampleforth,North Yorkshire,England
706,Ampney Crucis,Gloucestershire,England
707,Ampney St Mary,Gloucestershire,England
708,Ampney St Peter,Gloucestershire,England
709,Amport,Hampshire,England
710,Ampthill,Bedfordshire,England
711,Ampton,Suffolk,England
712,Amroth,Pembrokeshire,Wales
713,Amulree,Perth and Kinross,Scotland
714,Amwell,Hertfordshire,England
715,An Cnoc,Na h-Eileanan an Iar,Scotland
716,An Cnoc Ard,Na h-Eileanan an Iar,Scotland
717,An Gleann Ur,Na h-Eileanan an Iar,Scotland
718,An Leth Meadhanach,Na h-Eileanan an Iar,Scotland
719,Anagach,Highland,Scotland
720,Anaheilt,Highland,Scotland
721,Anancaun,Highland,Scotland
722,Ancaster,Lincolnshire,England
723,Anchor,Shropshire,England
724,Anchor Corner,Norfolk,England
725,Anchor Street,Norfolk,England
726,Anchorage Park,Hampshire,England
727,Anchorsholme,Lancashire,England
728,Ancoats,Greater Manchester,England
729,Ancroft,Northumberland,England
730,Ancroft Northmoor,Northumberland,England
731,Ancrum,Scottish Borders,Scotland
732,Ancton,West Sussex,England
733,Ancumtoun,Orkney Islands,Scotland
734,Anderby,Lincolnshire,England
735,Anderby Creek,Lincolnshire,England
736,Andersea,Somerset,England
737,Andersfield,Somerset,England
738,Anderson,Dorset,England
739,Anderton,Lancashire,England
740,Anderton,Cheshire,England
741,Anderton,Cornwall,England
742,Andertons Mill,Lancashire,England
743,Andover,Hampshire,England
744,Andover Down,Hampshire,England
745,Andoversford,Gloucestershire,England
746,Andwell,Hampshire,England
747,Anelog,Gwynedd,Wales
748,Anerley,"Bromley, Greater London",England
749,Anfield,Merseyside,England
750,Angarrack,Cornwall,England
751,Angarrick,Cornwall,England
752,Angelbank,Shropshire,England
753,Angersleigh,Somerset,England
754,Angerton,Cumbria,England
755,Angle,Pembrokeshire,Wales
756,Angmering,West Sussex,England
757,Angram,North Yorkshire,England
758,Angram,North Yorkshire,England
759,Anick,Northumberland,England
760,Ankerdine Hill,Worcestershire,England
761,Anlaby,East Riding of Yorkshire,England
762,Anlaby Park,East Riding of Yorkshire,England
763,Anmer,Norfolk,England
764,Anmore,Hampshire,England
765,Ann's Hill,Hampshire,England
766,Anna Valley,Hampshire,England
767,Annaclone,Banbridge,Northern Ireland
768,Annacloy,Down,Northern Ireland
769,Annaghmore,Armagh,Northern Ireland
770,Annahilt,Lisburn,Northern Ireland
